League,Game Type,Home,Away,Date,Time,Prob %,Pred,Pred Score,Avg,Odds,Q1,Q2,Q3,Q4,OT,Status,FT Score,t2-q1,t2-q2,t2-q3,t2-q4,t2-q1-conf,t2-q2-conf,t2-q3-conf
LNB-PY,Regular Season,Dep. San Jose,Deportivo Campoalto,01/05/2026,0:30,8020,192-73,,,-,,,,,,Scheduled,,,,,,,,
NBB,Regular Season,Flamengo,Uniao Corinthians,01/05/2026,0:30,8317,192-77,,,1.14,,,,,,Scheduled,,,,,,,,
SUPERLIGA-VE,Regular Season,Gaiteros del Zulia,Trotamundos,01/05/2026,,7426,183-75,,,-,,,,,,Scheduled,,,,,,,,
SUPERLIGA-VE,Regular Season,Heroes de Falcon,Brillantes,01/05/2026,,5941,182-78,,,-,,,,,,Scheduled,,,,,,,,
SUPERLIGA-VE,Regular Season,Panteras,Centauros,01/05/2026,,4654,283-94,,,-,,,,,,Scheduled,,,,,,,,
SUPERLIGA-VE,Regular Season,Gaiteros del Zulia,Piratas de La Guaira,01/05/2026,1:00,7129,188-76,,,-,,,,,,Scheduled,,,,,,,,
SUPERLIGA-VE,Regular Season,Diablos,Pioneros,01/05/2026,1:00,4357,283-90,,,1.57,,,,,,Scheduled,,,,,,,,
LNB-PY,Regular Season,Colonias Gold,San Alfonzo,01/05/2026,1:00,8713,1111-71,,,-,,,,,,Scheduled,,,,,,,,
LNB-PY,Regular Season,Olimpia Kings,Ciudad Nueva,01/05/2026,1:00,8119,181-68,,,-,,,,,,Scheduled,,,,,,,,
WNBA,Regular Season,Indiana Fever W,Dallas Wings W,01/05/2026,1:00,7426,1102-81,,,-,,,,,,Scheduled,,,,,,,,
LBF-W,Regular Season,Recife W,Sampaio W,01/05/2026,1:00,1189,253-82,,,-,,,,,,Scheduled,,,,,,,,
NBA,Regular Season,Atlanta Hawks,New York Knicks,01/05/2026,1:00,3664,2109-116,,,1.71,,,,,,Scheduled,,,,,,,,
NBB,Regular Season,Brasilia,Caxias do Sul,01/05/2026,1:15,7525,183-78,,,1.16,,,,,,Scheduled,,,,,,,,
LNB-PY,Regular Season,Felix Perez Cardozo,Deportivo Amambay,01/05/2026,1:30,4555,278-83,,,1.65,,,,,,Scheduled,,,,,,,,
BSN,Regular Season,Vaqueros de Bayamon,Leones De Ponce,01/05/2026,2:00,7624,192-79,,,-,,,,,,Scheduled,,,,,,,,
